Campaign,Ad Group,Final URL,Description,Headline 1,Headline 2
SEM_Instructors,Andrew Bray,https://www.datacamp.com/instructors/andrew-bray,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Andrew Bray,Boost Your Data Science Career
SEM_Instructors,Andrew Bray,https://www.datacamp.com/instructors/andrew-bray,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Andrew Bray,Stand Out From the Crowd
SEM_Instructors,Andrew Bray,https://www.datacamp.com/instructors/andrew-bray,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Andrew Bray,Tackle Complex Questions
SEM_Instructors,Víctor Medina,https://www.datacamp.com/instructors/vitomedina,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Víctor Medina,Boost Your Data Science Career
SEM_Instructors,Víctor Medina,https://www.datacamp.com/instructors/vitomedina,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Víctor Medina,Stand Out From the Crowd
SEM_Instructors,Víctor Medina,https://www.datacamp.com/instructors/vitomedina,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Víctor Medina,Tackle Complex Questions
SEM_Instructors,Albert DeFusco,https://www.datacamp.com/instructors/adefusco,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Albert DeFusco,Boost Your Data Science Career
SEM_Instructors,Albert DeFusco,https://www.datacamp.com/instructors/adefusco,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Albert DeFusco,Stand Out From the Crowd
SEM_Instructors,Albert DeFusco,https://www.datacamp.com/instructors/adefusco,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Albert DeFusco,Tackle Complex Questions
SEM_Instructors,Omayma Said,https://www.datacamp.com/instructors/omayma-said,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Omayma Said,Boost Your Data Science Career
SEM_Instructors,Omayma Said,https://www.datacamp.com/instructors/omayma-said,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Omayma Said,Stand Out From the Crowd
SEM_Instructors,Omayma Said,https://www.datacamp.com/instructors/omayma-said,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Omayma Said,Tackle Complex Questions
SEM_Instructors,Peter Chi,https://www.datacamp.com/instructors/peterbchi,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Peter Chi,Boost Your Data Science Career
SEM_Instructors,Peter Chi,https://www.datacamp.com/instructors/peterbchi,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Peter Chi,Stand Out From the Crowd
SEM_Instructors,Peter Chi,https://www.datacamp.com/instructors/peterbchi,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Peter Chi,Tackle Complex Questions
SEM_Instructors,Ted Hart,https://www.datacamp.com/instructors/edmundmhart,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Ted Hart,Boost Your Data Science Career
SEM_Instructors,Ted Hart,https://www.datacamp.com/instructors/edmundmhart,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Ted Hart,Stand Out From the Crowd
SEM_Instructors,Ted Hart,https://www.datacamp.com/instructors/edmundmhart,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Ted Hart,Tackle Complex Questions
SEM_Instructors,Kathrin Gruber,https://www.datacamp.com/instructors/kagruber2412,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Kathrin Gruber,Boost Your Data Science Career
SEM_Instructors,Kathrin Gruber,https://www.datacamp.com/instructors/kagruber2412,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Kathrin Gruber,Stand Out From the Crowd
SEM_Instructors,Kathrin Gruber,https://www.datacamp.com/instructors/kagruber2412,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Kathrin Gruber,Tackle Complex Questions
SEM_Instructors,Roel Verbelen,https://www.datacamp.com/instructors/roel-verbelen,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Roel Verbelen,Boost Your Data Science Career
SEM_Instructors,Roel Verbelen,https://www.datacamp.com/instructors/roel-verbelen,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Roel Verbelen,Stand Out From the Crowd
SEM_Instructors,Roel Verbelen,https://www.datacamp.com/instructors/roel-verbelen,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Roel Verbelen,Tackle Complex Questions
SEM_Instructors,Katrien Antonio,https://www.datacamp.com/instructors/kantonio,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Katrien Antonio,Boost Your Data Science Career
SEM_Instructors,Katrien Antonio,https://www.datacamp.com/instructors/kantonio,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Katrien Antonio,Stand Out From the Crowd
SEM_Instructors,Katrien Antonio,https://www.datacamp.com/instructors/kantonio,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Katrien Antonio,Tackle Complex Questions
SEM_Instructors,Tamuno Alfred,https://www.datacamp.com/instructors/tammy3141,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Tamuno Alfred,Boost Your Data Science Career
